 0.00000000e+00 -1.55279211e-11 
 1.00000000e-02 -1.96847350e-11 
 2.00000000e-02 -2.57565867e-11 
 3.00000000e-02 -3.47918286e-11 
 4.00000000e-02 -4.55858480e-11 
 5.00000000e-02 -5.97591411e-11 
 6.00000000e-02 -7.83748246e-11 
 7.00000000e-02 -1.02832088e-10 
 8.00000000e-02 -1.34972881e-10 
 9.00000000e-02 -1.77222590e-10 
 1.00000000e-01 -2.32775569e-10 
 1.10000000e-01 -3.05839850e-10 
 1.20000000e-01 -4.01959955e-10 
 1.30000000e-01 -5.28442773e-10 
 1.40000000e-01 -6.94919426e-10 
 1.50000000e-01 -9.14086535e-10 
 1.60000000e-01 -1.20268410e-09 
 1.70000000e-01 -1.58278527e-09 
 1.80000000e-01 -2.08349702e-09 
 1.90000000e-01 -2.74320159e-09 
 2.00000000e-01 -3.61250871e-09 
 2.10000000e-01 -4.75814036e-09 
 2.20000000e-01 -6.26803615e-09 
 2.30000000e-01 -8.25805082e-09 
 2.40000000e-01 -1.08807196e-08 
 2.50000000e-01 -1.43366924e-08 
 2.60000000e-01 -1.88895857e-08 
 2.70000000e-01 -2.48851588e-08 
 2.80000000e-01 -3.27758826e-08 
 2.90000000e-01 -4.31520809e-08 
 3.00000000e-01 -5.67808386e-08 
 3.10000000e-01 -7.46536624e-08 
 3.20000000e-01 -9.80432790e-08 
 3.30000000e-01 -1.28568734e-07 
 3.40000000e-01 -1.68265820e-07 
 3.50000000e-01 -2.19656617e-07 
 3.60000000e-01 -2.85807665e-07 
 3.70000000e-01 -3.70361723e-07 
 3.80000000e-01 -4.77525172e-07 
 3.90000000e-01 -6.11994914e-07 
 4.00000000e-01 -7.78818605e-07 
 4.10000000e-01 -9.83201420e-07 
 4.20000000e-01 -1.23029667e-06 
 4.30000000e-01 -1.52503501e-06 
 4.40000000e-01 -1.87204423e-06 
 4.50000000e-01 -2.27568330e-06 
 4.60000000e-01 -2.74017241e-06 
 4.70000000e-01 -3.26976662e-06 
 4.80000000e-01 -3.86891219e-06 
 4.90000000e-01 -4.54234246e-06 
 5.00000000e-01 -5.29509866e-06 
 5.10000000e-01 -6.13248666e-06 
 5.20000000e-01 -7.05999265e-06 
 5.30000000e-01 -8.08318190e-06 
 5.40000000e-01 -9.20759876e-06 
 5.50000000e-01 -1.04386785e-05 
 5.60000000e-01 -1.17816754e-05 
 5.70000000e-01 -1.32416070e-05 
 5.80000000e-01 -1.48232132e-05 
 5.90000000e-01 -1.65309264e-05 
 6.00000000e-01 -1.83688512e-05 
 6.10000000e-01 -2.03407508e-05 
 6.20000000e-01 -2.24500379e-05 
 6.30000000e-01 -2.46997701e-05 
 6.40000000e-01 -2.70926468e-05 
 6.50000000e-01 -2.96310093e-05 
 6.60000000e-01 -3.23168413e-05 
 6.70000000e-01 -3.51517717e-05 
 6.80000000e-01 -3.81370777e-05 
 6.90000000e-01 -4.12736889e-05 
 7.00000000e-01 -4.45621926e-05 
 7.10000000e-01 -4.80028394e-05 
 7.20000000e-01 -5.15955504e-05 
 7.30000000e-01 -5.53399244e-05 
 7.40000000e-01 -5.92352464e-05 
 7.50000000e-01 -6.32804972e-05 
 7.60000000e-01 -6.74743635e-05 
 7.70000000e-01 -7.18152499e-05 
 7.80000000e-01 -7.62290462e-05 
 7.90000000e-01 -8.08592218e-05 
 8.00000000e-01 -8.56301840e-05 
 8.10000000e-01 -9.05393343e-05 
 8.20000000e-01 -9.55838631e-05 
 8.30000000e-01 -1.00760767e-04 
 8.40000000e-01 -1.06066867e-04 
 8.50000000e-01 -1.11498824e-04 
 8.60000000e-01 -1.17053160e-04 
 8.70000000e-01 -1.22726275e-04 
 8.80000000e-01 -1.28514464e-04 
 8.90000000e-01 -1.34413934e-04 
 9.00000000e-01 -1.40420824e-04 
 9.10000000e-01 -1.46531220e-04 
 9.20000000e-01 -1.52741169e-04 
 9.30000000e-01 -1.59046697e-04 
 9.40000000e-01 -1.65443818e-04 
 9.50000000e-01 -1.71928553e-04 
 9.60000000e-01 -1.78496936e-04 
 9.70000000e-01 -1.85145028e-04 
 9.80000000e-01 -1.91868926e-04 
 9.90000000e-01 -1.98664772e-04 
 1.00000000e+00 -2.05528760e-04 
 1.01000000e+00 -2.12457143e-04 
 1.02000000e+00 -2.19446237e-04 
 1.03000000e+00 -2.26492431e-04 
 1.04000000e+00 -2.33592186e-04 
 1.05000000e+00 -2.40742041e-04 
 1.06000000e+00 -2.47938615e-04 
 1.07000000e+00 -2.55178610e-04 
 1.08000000e+00 -2.62458814e-04 
 1.09000000e+00 -2.69776097e-04 
 1.10000000e+00 -2.77127420e-04 
 1.11000000e+00 -2.84509825e-04 
 1.12000000e+00 -2.91920446e-04 
 1.13000000e+00 -2.99356500e-04 
 1.14000000e+00 -3.06815291e-04 
 1.15000000e+00 -3.14294208e-04 
 1.16000000e+00 -3.21790723e-04 
 1.17000000e+00 -3.29302393e-04 
 1.18000000e+00 -3.36826855e-04 
 1.19000000e+00 -3.44361825e-04 
 1.20000000e+00 -3.51905100e-04 
