L_nH,Rs_Ohm,Q_L,f_fft_ghz,v_swing_V,p_dc_uW,Rp_Ohm,P_sig_uW,PN_leeson_dBcHz,FoM,jitter_ps
1.28,1.2,16.085,2.7999,0.4025,705.4,362.2041515023202,55.909854058838086,-116.49045106882852,186.94894692647435,nan
1.52,1.3407,17.0968,2.6399,0.3831,594.0,431.04812828080804,42.560679530543325,-116.34662922826179,187.04051429864393,nan
1.76,1.4736,18.0101,2.5199,0.3646,513.0,501.8708447923004,33.109404884590994,-116.11216668978356,187.038659169297,nan
2.0,1.6003,18.8463,2.4,0.3474,451.4,568.3910172225535,26.541314944977636,-115.96951810995063,187.0281273967653,0.0003558192433202611
2.28,1.7414,19.7436,2.28,0.329,396.0,644.8755423244313,20.980986426049185,-115.79808555180622,186.9798306325602,nan
2.56,1.8765,20.5724,2.18,0.3122,352.7,721.3753320480217,16.889411737174484,-115.60271114803493,186.89778642345212,nan
