 1.00000000e-14  1.00615747e+00  1.00000000e-14  4.08669970e-01 
 1.02800428e-14  1.00607412e+00  1.02800428e-14  4.08720279e-01 
 1.08401284e-14  1.00591408e+00  1.08401284e-14  4.08816898e-01 
 1.19602997e-14  1.00563041e+00  1.19602997e-14  4.08988209e-01 
 1.42006422e-14  1.00517843e+00  1.42006422e-14  4.09260273e-01 
 1.86813272e-14  1.00457134e+00  1.86813272e-14  4.09617619e-01 
 2.76426971e-14  1.00389008e+00  2.76426971e-14  4.09979312e-01 
 4.42634652e-14  1.00313125e+00  4.42634652e-14  4.10297126e-01 
 6.65913924e-14  1.00231562e+00  6.65913924e-14  4.10610975e-01 
 1.11247247e-13  1.00104485e+00  1.11247247e-13  4.11141290e-01 
 2.00558956e-13  9.99441661e-01  2.00558956e-13  4.11913911e-01 
 3.31606049e-13  9.98288820e-01  3.31606049e-13  4.12596161e-01 
 4.91234509e-13  9.97761713e-01  4.91234509e-13  4.12967446e-01 
 7.17352626e-13  9.97581123e-01  7.17352626e-13  4.13117830e-01 
 1.00000000e-12  9.97597323e-01  1.00000000e-12  4.13130639e-01 
 1.03287294e-12  9.97601979e-01  1.03287294e-12  4.13130085e-01 
 1.09861882e-12  9.97611500e-01  1.09861882e-12  4.13129151e-01 
 1.23011057e-12  9.97627980e-01  1.23011057e-12  4.13130392e-01 
 1.49309408e-12  9.97647969e-01  1.49309408e-12  4.13147125e-01 
 2.01906110e-12  9.97633994e-01  2.01906110e-12  4.13239213e-01 
 3.01906110e-12  9.97405824e-01  3.01906110e-12  4.13630432e-01 
 4.01906110e-12  9.96915518e-01  4.01906110e-12  4.14300591e-01 
 5.01906110e-12  9.96165355e-01  5.01906110e-12  4.15244569e-01 
 6.01906110e-12  9.95157972e-01  6.01906110e-12  4.16457612e-01 
 7.01906110e-12  9.93895556e-01  7.01906110e-12  4.17935504e-01 
 8.01906110e-12  9.92380726e-01  8.01906110e-12  4.19674053e-01 
 9.01906110e-12  9.90615676e-01  9.01906110e-12  4.21669485e-01 
 1.00190611e-11  9.88603090e-01  1.00190611e-11  4.23917912e-01 
 1.10190611e-11  9.86345269e-01  1.10190611e-11  4.26415766e-01 
 1.20190611e-11  9.83845025e-01  1.20190611e-11  4.29159297e-01 
 1.30190611e-11  9.81104824e-01  1.30190611e-11  4.32145004e-01 
 1.40190611e-11  9.78127647e-01  1.40190611e-11  4.35369162e-01 
 1.50190611e-11  9.74916163e-01  1.50190611e-11  4.38828245e-01 
 1.60190611e-11  9.71473551e-01  1.60190611e-11  4.42518473e-01 
