L[nH],D_out[um],D_in[um],Area[um^2],Area[mm^2],vs_paper,Rs_est[Ohm]
1.28,174.10793099923274,130.10793099923276,30313.57163683359,0.03031357163683359,1.0,3.3801762444273944
1.52,196.12815624250874,152.12815624250874,38466.25367108592,0.03846625367108592,1.26894495085977,3.869514583166861
1.76,217.85478879606114,173.85478879606117,47460.70900137641,0.04746070900137641,1.5656587607020076,4.3523286399124705
2.0,239.36454714226366,195.3645471422637,57295.386428620965,0.05729538642862097,1.890090257757755,4.830323269828082
2.28,264.2526567291372,220.25265672913721,69829.46658840722,0.06982946658840722,2.303571067935737,5.383392371758605
2.56,288.9704407091394,244.97044070913938,83503.91560363423,0.08350391560363424,2.754670964016982,5.932676460203098
